particle,theta_deg
806,0.05998969
807,0.04877007
808,0.12592198
809,0.02830568
810,0.03429022
811,0.03893652
812,0.06691084
813,0.03169719
814,0.03343443
815,0.02608896
816,0.04702543
817,0.03000482
818,0.05941569
819,0.03002015
820,0.02771264
821,0.02937993
822,0.04099717
823,0.04785618
824,0.02804072
825,0.08933802
826,0.03176344
827,0.03547699
828,0.04158851
829,0.03027993
830,0.03850132
831,0.04453927
832,0.03526183
833,0.02822647
834,0.03673087
835,0.02784684
836,0.12719110
837,0.05922085
838,0.03621525
839,0.03412861
840,0.05775780
841,0.02758593
842,0.03749437
843,0.03010676
844,0.07558194
845,0.03295169
846,0.03949003
847,0.02643014
848,0.03258557
849,0.14693038
850,0.39402130
851,0.05491421
852,0.05036985
853,0.02659150
854,0.18117568
855,0.04405453
856,0.04837781
857,0.02763611
858,0.04150157
859,0.04018227
860,0.03411377
861,0.07118024
862,0.04748851
863,0.02956583
864,0.02929813
865,0.03440483
866,0.09950313
867,0.02665792
868,0.13146849
869,0.02823356
870,0.02784693
871,0.05777989
872,0.02722102
873,0.03097665
874,0.03109301
875,0.02869137
876,0.06528547
877,0.11582720
878,0.04330501
879,0.07522270
880,0.04179416
881,0.04421111
882,0.14495377
883,0.02658548
884,0.03646507
885,0.02629398
886,0.02651714
887,0.03843078
888,0.04227607
889,0.03863685
890,0.06595765
891,0.05158278
892,0.03594316
893,0.03930863
894,0.04757464
895,0.04031210
896,0.02828604
897,0.02666507
898,0.03020260
899,0.98675030
900,0.04311029
901,0.04204538
902,0.02666684
903,0.05714501
904,0.04330761
905,0.27314996
906,0.02895287
907,0.06304087
908,0.02747343
909,0.08504883
910,0.04267600
911,0.09877498
912,0.03668151
913,0.02791517
914,0.03725114
915,0.04970789
916,0.03129634
917,0.03017153
918,0.07340551
919,0.08362475
920,0.03840053
921,0.04500935
922,0.08413824
923,0.02990172
924,0.14411110
925,0.06048387
926,0.04296394
927,0.04414921
928,0.02717519
929,0.02929867
930,0.02630591
931,0.02837847
932,0.05211855
933,0.02946120
934,0.16409465
935,0.03428628
936,0.03358684
937,0.03374603
938,0.06251091
939,0.03944963
940,0.04547062
941,0.02903773
942,0.03109492
943,0.02948843
944,0.06543709
945,0.11687728
946,0.02958807
947,0.04946391
948,0.08046233
949,0.17780047
950,0.02686814
951,0.02941016
952,0.03665973
953,0.04527812
954,0.07833793
955,0.03263236
956,0.05841084
957,0.03392682
958,0.09206334
959,0.04791296
960,0.05694110
961,0.05225980
962,0.04209448
963,0.05618624
964,0.08357020
965,0.05574888
966,0.02863194
967,0.02725413
968,0.09954424
969,0.03131031
970,0.02768803
971,0.02956033
972,0.33368393
973,0.03729301
974,0.05143421
975,0.12178989
976,0.03556494
977,0.10156055
978,0.02772610
979,0.03017966
980,0.07395137
981,0.02989267
982,0.05217805
983,0.02783643
984,0.03187755
985,0.03098254
986,0.04271363
987,0.02951827
988,0.03381754
989,0.04027351
990,0.07138846
991,0.02750535
992,0.03972831
993,0.02900181
994,0.03509112
995,0.03270064
996,0.06318002
997,0.02690125
998,0.02836925
999,0.02796711
1000,0.02795173
1001,0.02943552
1002,0.03078220
1003,0.02977382
1004,0.05925732
1005,0.04133711
1006,0.09892570
1007,0.03253625
1008,0.05428793
1009,0.04996421
1010,0.02989862
1011,0.03121605
1012,0.03781025
1013,0.03812544
1014,0.06101793
1015,0.03061752
1016,0.04257294
1017,0.04584195
1018,0.05526247
1019,0.02797020
1020,0.03900141
1021,0.04829871
1022,0.04537310
1023,0.02923841
1024,0.02642633
1025,0.03955949
1026,0.03603431
1027,0.09866059
1028,0.03925994
1029,0.12791272
1030,0.02890637
1031,0.04394443
1032,0.03010250
1033,0.04523570
1034,0.03563835
1035,0.04059895
1036,0.02616874
1037,0.03743953
1038,0.05739272
1039,0.02933424
1040,0.03184055
1041,0.07218170
1042,0.04048106
1043,0.02619670
1044,0.05573432
1045,0.03414960
1046,0.09251140
1047,0.02953831
1048,0.02905191
1049,0.02700397
1050,0.06290065
1051,0.03091971
1052,0.08687335
1053,0.04051219
1054,0.04562384
1055,0.06038644
1056,0.02633888
1057,0.04883949
1058,0.04090973
1059,0.02673343
1060,0.02710709
1061,0.02641478
1062,0.03186819
1063,0.03446329
1064,0.03956737
1065,0.04826891
1066,0.04120411
1067,0.03870302
1068,0.09952252
1069,0.04652425
1070,0.04243046
1071,0.04452159
1072,0.02897395
1073,0.03430405
1074,0.03207271
1075,0.03467510
1076,0.05386963
1077,0.02736985
1078,0.04189143
1079,0.06094479
1080,0.03264340
1081,0.07884912
1082,0.04767244
1083,0.03011829
1084,0.03434788
1085,0.03327165
1086,0.02819086
1087,0.11253627
1088,0.03203834
1089,0.04132429
1090,0.02990726
1091,0.02838170
1092,0.02650408
1093,0.05430578
1094,0.02979080
1095,0.11995353
1096,0.02886174
1097,0.03800927
1098,0.07198950
1099,0.02682957
1100,0.03850513
1101,0.03307659
1102,0.03132328
1103,0.03785820
1104,0.06246383
1105,0.03035514
1106,0.02929481
1107,0.05101878
1108,0.12242740
1109,0.02748066
1110,0.03386087
1111,0.04680832
1112,0.08327871
1113,0.03121279
1114,0.04024303
1115,0.24818648
1116,0.03791856
1117,0.03014742
1118,0.03384250
1119,0.03133727
1120,0.05232595
1121,0.04417669
1122,0.08367510
1123,0.02816198
1124,0.03504141
1125,0.04264042
1126,0.06991705
1127,0.04545664
1128,0.02898006
1129,0.03921317
1130,0.03025534
1131,0.07582236
1132,0.02867833
1133,0.02668800
1134,0.06330564
1135,0.05660610
1136,0.03291683
1137,0.05018717
1138,0.09138249
1139,0.03040068
1140,0.19385736
1141,0.05748724
1142,0.05357413
1143,0.03019036
1144,0.02867815
1145,0.04783276
1146,0.03570474
1147,0.03703725
1148,0.03962109
1149,0.06523700
1150,0.02918926
1151,0.03245000
1152,0.03837968
1153,0.13869865
1154,0.02910075
1155,0.03979257
1156,0.06345688
1157,0.07715740
1158,0.15022701
1159,0.03535274
1160,0.04040026
1161,0.02638728
1162,0.03483920
1163,0.02681902
1164,0.03027813
1165,0.02750285
1166,0.03961771
1167,0.03285506
1168,0.03861836
1169,0.08265464
1170,0.03034994
1171,0.03057214
1172,0.02890040
1173,0.02670124
1174,0.04129193
1175,0.03111255
1176,0.08066657
1177,0.02838119
1178,0.04432915
1179,0.02785011
1180,0.07329902
1181,0.02626708
1182,0.10401993
1183,0.04003846
1184,0.02685658
1185,0.02608544
1186,0.06702461
1187,0.03191887
1188,0.03277119
1189,0.03726665
1190,0.07132666
1191,0.04644714
1192,0.03688964
1193,0.03593457
1194,0.04339979
1195,0.04498295
1196,0.04150204
1197,0.12117138
1198,0.03264201
1199,0.03396943
1200,0.03244623
1201,0.02820718
1202,0.07932867
1203,0.04574305
1204,0.02718596
1205,0.09303647
1206,0.02711038
1207,0.09619165
1208,0.02787795
1209,0.02904242
1210,0.07126334
1211,0.07280303
1212,0.06055793
1213,0.03219273
1214,0.03491500
1215,0.06250842
1216,0.02659270
1217,0.03005061
1218,0.02641751
1219,0.10275928
1220,0.03247994
1221,0.02959414
1222,0.02774090
1223,0.05214367
1224,0.02950690
1225,0.02622072
1226,0.17930431
1227,0.04074317
1228,0.02800253
1229,0.04320330
1230,0.03035484
1231,0.02663648
1232,0.03636884
1233,0.02978521
1234,0.03013199
1235,0.03073280
1236,0.02913158
1237,0.06569916
1238,0.06086275
1239,0.02857010
1240,0.03116261
1241,0.04531970
1242,0.02970357
1243,0.02925806
1244,0.02731389
1245,0.03512031
1246,0.03612555
1247,0.03489324
1248,0.03699945
1249,0.08698589
1250,0.06309860
1251,0.04983199
1252,0.03582465
1253,0.04293653
1254,0.03558471
1255,0.03755509
1256,0.04033617
1257,0.02682019
1258,0.03745184
1259,0.02777118
1260,0.04175328
1261,0.03641844
1262,0.02933782
1263,0.03530660
1264,0.04602691
1265,0.04667610
1266,0.02740358
1267,0.04260340
1268,0.02660893
1269,0.02674707
1270,0.21192467
1271,0.05937755
1272,0.04041892
1273,0.02986107
1274,0.03338469
1275,0.03205283
1276,0.04014839
1277,0.02850846
1278,0.10226703
1279,0.03062766
1280,0.03586946
1281,0.02896535
1282,0.03303210
1283,0.03093143
1284,0.03332420
1285,0.07820286
1286,0.05554312
1287,0.04333965
1288,0.11630826
1289,0.02884941
1290,0.02917320
1291,0.02775503
1292,0.03163575
1293,0.03887424
1294,0.02999550
1295,0.03809771
1296,0.03031238
1297,0.08309115
1298,0.03481738
1299,0.03225347
1300,0.06699518
1301,0.03796791
1302,0.07100882
1303,0.03711425
1304,0.04652797
1305,0.02990349
1306,0.03480762
1307,0.02654188
1308,0.04230423
1309,0.02630290
1310,0.02932111
1311,0.07730308
1312,0.02873173
1313,0.03441341
1314,0.02705039
1315,0.03224249
1316,0.04452979
1317,0.02900515
1318,0.04749396
1319,0.03106840
1320,0.10456893
1321,0.05087914
1322,0.04706590
1323,0.02758189
1324,0.03447852
1325,0.02875148
1326,0.02769298
1327,0.08045017
1328,0.05877080
1329,0.02723689
1330,0.03732473
1331,0.05990411
1332,0.03513842
1333,0.03791135
1334,0.02989837
1335,0.02745473
1336,0.03536337
1337,0.03579735
1338,0.07689599
1339,0.03747549
1340,0.03093195
1341,0.04182390
1342,0.02995698
1343,0.03720912
1344,0.02692565
1345,0.03269133
1346,0.03310388
1347,0.02796587
1348,0.02867229
1349,0.11773193
1350,0.05807014
1351,0.02625722
1352,0.02939752
1353,0.03164434
1354,0.03684770
1355,0.06728444
1356,0.05840163
1357,0.03999716
1358,0.02718217
1359,0.02768253
1360,0.03347740
1361,0.05505269
1362,0.03040404
1363,0.07246325
1364,0.08890258
1365,0.08842570
1366,0.05046929
1367,0.07438811
1368,0.11933530
1369,0.02975880
1370,0.10659362
1371,0.03453977
1372,0.03798711
1373,0.03217591
1374,0.05403745
1375,0.04100051
1376,0.03354143
1377,0.03296573
1378,0.13993384
1379,0.03301347
1380,0.06166850
1381,0.03241084
1382,0.04037668
1383,0.02875307
1384,0.07167583
1385,0.05119978
1386,0.03259196
1387,0.05930809
1388,0.02778973
1389,0.02823006
1390,0.08153683
1391,0.04282791
1392,0.02627904
1393,0.03088395
1394,0.04849212
1395,0.03219177
1396,0.04727476
1397,0.03256638
1398,0.03177972
1399,0.05475284
1400,0.10533824
1401,0.02739564
1402,0.04271839
1403,0.04230882
1404,0.06867928
1405,0.02689969
1406,0.08970236
1407,0.03305007
1408,0.02852926
1409,0.02982375
1410,0.03207645
1411,0.05450359
1412,0.03046548
1413,0.09896121
1414,0.02736618
1415,0.02857306
1416,0.06506840
1417,0.03894632
1418,0.03928255
1419,0.13449657
1420,0.06495846
1421,0.03214693
1422,0.03386279
1423,0.03254261
1424,0.03474763
1425,0.09587990
1426,0.02747992
1427,0.03972390
1428,0.07578666
1429,0.14244499
1430,0.06083097
1431,0.02797478
1432,0.02652136
1433,0.03224059
1434,0.03446039
1435,0.03602936
1436,0.03315451
1437,0.13340551
1438,0.18672359
1439,0.02942631
1440,0.03007090
1441,0.03718990
1442,0.04934530
1443,0.02728458
1444,0.02692454
1445,0.04007397
1446,0.04190757
1447,0.03605119
1448,0.03400775
1449,0.06639160
1450,0.12810734
1451,0.08647834
1452,0.02950754
1453,0.02617823
1454,0.18349619
1455,0.03041078
1456,0.04191060
1457,0.03055163
1458,0.06784345
1459,0.02788466
1460,0.03108947
1461,0.03959687
1462,0.08139989
1463,0.07769623
1464,0.02689279
1465,0.04011301
1466,0.04381551
1467,0.05747958
1468,0.03521464
1469,0.04058612
1470,0.06932007
1471,0.03517749
1472,0.14326708
1473,0.13030157
1474,0.03327299
1475,0.04228021
1476,0.03917474
1477,0.04643397
1478,0.05145354
1479,0.09405195
1480,0.23817156
1481,0.03315427
1482,0.02664739
1483,0.02649602
1484,0.02632173
1485,0.03920160
1486,0.03268010
1487,0.05518913
1488,0.03408537
1489,0.03357293
1490,0.07169877
1491,0.17556640
1492,0.03472837
1493,0.02852914
1494,0.02728550
1495,0.03379228
1496,0.02715091
1497,0.03604605
1498,0.20560569
1499,0.02642431
1500,0.03611100
1501,0.02926161
1502,0.36856657
1503,0.03650614
1504,0.05095942
1505,0.03666197
1506,0.02867209
1507,0.04587876
1508,0.03868583
1509,0.02983981
1510,0.03764973
1511,0.02785969
1512,0.04451160
1513,0.02641565
1514,0.10910048
1515,0.03057305
1516,0.06097866
1517,0.05282305
1518,0.05398685
1519,0.03244077
1520,0.03149557
1521,0.04266406
1522,0.02664041
1523,0.03179035
1524,0.09179954
1525,0.02854529
1526,0.03991764
1527,0.02811606
1528,0.02672604
1529,0.03328452
1530,0.05459597
1531,0.03207756
1532,0.19911134
1533,0.03259604
1534,0.03059824
1535,0.02946281
1536,0.03636950
1537,0.02650049
1538,0.03113850
1539,0.02728955
1540,0.04599122
1541,0.05768998
1542,0.22630513
1543,0.04050761
1544,0.08702793
1545,0.02908084
1546,0.03476912
1547,0.03704857
1548,0.04487010
1549,0.12501338
1550,0.03737993
1551,0.07872927
1552,0.05078844
1553,0.03931505
1554,0.03282836
1555,0.03907533
1556,0.02849043
1557,0.04178475
1558,0.03065286
1559,0.02996388
1560,0.03831227
1561,0.03211019
1562,0.05178808
1563,0.03740689
1564,0.02782024
1565,0.02874114
1566,0.08636089
1567,0.03794077
1568,0.02725823
1569,0.03464866
1570,0.02791167
1571,0.03686530
1572,0.03201252
1573,0.03675852
1574,0.04957590
1575,0.08282541
1576,0.12159720
1577,0.04106122
1578,0.03493074
1579,0.06059926
1580,0.05083891
1581,0.05388556
1582,0.03743199
1583,0.05296678
1584,0.05632719
1585,0.07191483
1586,0.06209135
1587,0.04767535
1588,0.04253543
1589,0.03424245
1590,0.03103120
1591,0.03812287
1592,0.04184671
1593,0.03937032
1594,0.03158898
1595,0.65711179
1596,0.04077025
1597,0.03601856
1598,0.04800701
1599,0.04073852
1600,0.03741208
1601,0.03563573
1602,0.03582260
1603,0.02950282
1604,0.03869277
1605,0.02967215
1606,0.03970551
1607,0.02740115
1608,0.13322612
1609,0.02979099
1610,0.03001972
1611,0.02782454
1612,0.02809068
1613,0.09651056
1614,0.06845626
1615,0.03039823
1616,0.02800642
1617,0.02881290
1618,0.04289662
1619,0.04006920
1620,0.06698931
1621,0.05993837
1622,0.06954273
1623,0.04041214
1624,0.04086365
1625,0.03330799
1626,0.03383332
1627,0.04613840
1628,0.03447093
1629,0.04867368
1630,0.05507441
1631,0.02752645
1632,0.03021450
1633,0.03258798
1634,0.02784172
1635,0.03140714
1636,0.04508370
1637,0.03155562
1638,0.02753135
1639,0.03572785
1640,0.05225300
1641,0.04633325
1642,0.02960744
1643,0.02770788
1644,0.03157914
1645,0.04610986
1646,0.03223352
1647,0.03637321
1648,0.04925143
1649,0.05665829
1650,0.04289214
1651,0.05586978
1652,0.03823410
1653,0.02800335
1654,0.02743271
1655,0.02915102
1656,0.02803580
1657,0.07580151
1658,0.02796692
1659,0.05996427
1660,0.03585051
1661,0.02637342
